345,CPU-Z Benchmark Thread​,"<p>This thread is dedicated to the CPU-Z benchmark to encourage some friendly competition among our members. Anyone may share their results, but to be included in the leaderboard you must have at least 50 posts. I&#39;ve included a leaderboard of overall results as well as being broken down into desktops and laptops. I know other CPU benchmark threads exist on here but they&#39;re somewhat out of date at this point.</p>

<p>I&#39;ve opted for CPU-Z as my benchmarking tool because it&#39;s extremely quick to run, seems to scale well, and is built into software most of us already have. It is my benchmark and stress test of choice for overclocking as I can test stability quickly and easily. It&#39;s not the most hardcore benchmark around, but definitely the most usable for getting quick results.</p>

<p><strong>7/4/18 Update: These results are using CPU-Z Benchmark Version 17.01.64<br />
Please ensure you are on this version of the benchmark. If you&#39;re not the latest CPU-Z version should have it. Since I only have results for Desktops currently I will only post that. Once I get a few laptop runs I will make a graph for that as well as a combined one.</strong></p>

<p>Grab CPU-Z from here. <a href=""http://www.cpuid.com/softwares/cpu-z.html"">Link</a></p>

<p><strong>Note: CPU-Z scores are noticeably impacted by programs running in the background like Steam, Skype, etc. Please shut down anything non essential when benching to ensure maximum results.</strong></p>

<p>To post your results please include the following in a screenshot. Open multiple instances of CPU-Z to make this easier.</p>
",2020-12-30 17:09:15,2020-12-30 17:09:15,5,0,16
346,Are they the same?,"<p>I have a desktop that I want to upgrade the CPU. I want a Pentium D 960 but they are a bit expensive, at least the one&rsquo;s I can find. I have found some 950&rsquo;s but I have a question.</p>

<p>Pentium D 950 Xeon are a lot cheaper that the Pentium D 950 that is not labeled Xeon. Are the CPU&rsquo;s different or the same. Stupid question, to some perhaps, but I don&rsquo;t know the answer and can only ask those that does.</p>

<p><u>I want to upgrade the CPU because the 950 and 960 are the only CPU&rsquo;s that will fit the board I have that has virtualization. Thanks. .</u></p>
",2020-12-30 17:13:44,2020-12-30 17:13:44,2,0,7
347,"EA will buy Codemasters,will this affects future NFS?","<p><a href=""https://news.sky.com/story/games-giant-electronic-arts-gatecrashes-725m-codemasters-takeover-1216058"">https://news.sky.com/story/games-giant-electronic-arts-gatecrashes-725m-codemasters-takeover-1216058...</a></p>

<p>In this Sky News report,EA is buying Codemasters just before Rockstar finished the deal.The exact price may be revealed tomorrow.If this is true,will Codemasters replace the still hiring Fake Criterion as new NFS developer?</p>
",2020-12-30 17:16:45,2020-12-30 17:16:45,10,1,16
348,Has SETI found them?,"<p>A new signal has been detected that passes at least some of the tests for being an ET signal. The &quot;problem&quot; is that the signal is coming from the nearest star Proxima Centauri.&nbsp;</p>

<p><a href=""https://www.scientificamerican.com/article/alien-hunters-discover-mysterious-signal-from-proxima-centauri/"">https://www.scientificamerican.com/article/alien-hunters-discover-mysterious-signal-from-proxima-centauri/</a></p>
",2020-12-30 18:50:18,2020-12-30 18:50:18,2,2,21
349,A robot wrote an article! I am scared. Are you?,"<p>I don&#39;t know what to believe it or not. What the hell is this all about?&nbsp;</p>

<p>&nbsp;</p>
",2020-12-30 18:53:42,2020-12-30 18:53:42,4,2,21
350,Chinese fusion reactor test,"<p>China has &#39;successfully&#39; activated its own version of a Tokamak fusion reactor</p>

<p><a href=""https://www.msn.com/en-ca/news/world/china-successfully-activates-nuclear-powered-artificial-sun/ar-BB1bI29L?ocid=msedgntp"">China successfully activates nuclear-powered &lsquo;artificial sun&rsquo; (msn.com)</a></p>

<p>China has been collaborating with ITER on such developments.<br />
It will be interesting to see if they have implemented any new solutions or technologies to the problem.</p>
",2020-12-30 19:01:08,2020-12-30 19:01:08,1,2,7
351,Mission: Impossible 7&8 Nov 2021/2022,"<p>So with M:I 6 just around the corner, Simon Pegg is already suggesting the next one is happening sooner rather than later.<br />
<a href=""http://www.digitalspy.com/movies/mission-impossible/news/a860039/simon-pegg-mission-impossible-7-could-be-coming-soon/"">Pegg says Mission: Impossible 7 could be coming soon</a></p>
",2020-12-30 19:02:40,2020-12-30 19:02:40,4,3,7
352,Pirates of the Caribbean Reboot,"<p><strong>Deadpool, Zombieland</strong> writers to take it in a new direction</p>

<p>Disney Eyes Pirates of the Caribbean Reboot With Deadpool Writers - IGN</p>

<p><em>&lsquo;Pirates of the Caribbean&rsquo; Reboot Being Explored by Disney With &lsquo;Deadpool&rsquo; Writers</em></p>
",2020-12-30 19:08:23,2020-12-30 19:10:07,3,3,21
353,Shadow In The Cloud (tbc),"<p><strong>EXCLUSIVE</strong>: Signature Entertainment has acquired UK &amp; Irish rights to WWII thriller Shadow In The Cloud, starring Chlo&euml; Grace Moretz (Kick Ass) and Nick Robinson (Love, Simon).</p>

<p>Set in the final throes of WWII, the pic follows a group of Allied soldiers as they prepare to take to the air in a B-17 Flying Fortress. The all-male crew are caught off guard when Captain Maude Garrett, played by Moretz, boards. With her military knowledge initially winning over the soldiers, things escalate quickly into chaos when they suspect her intentions are not as expected. As paranoia kicks in, something far more sinister is lurking in the shadows, something with sharp teeth and a taste for human blood</p>
",2020-12-30 19:13:30,2020-12-30 19:13:30,2,3,22
354,Weekly Poll: Your Least Favorite Christmas Song,"<p>No actual poll this week with the holiday.</p>

<p>I figure everyone always talks about their favorites. Which one makes you cringe every time you hear it in the supermarket?</p>
",2020-12-30 19:21:01,2020-12-30 19:21:01,3,4,21
